NAME,TEAM,OPP,GAME_ID,PLAYER_ID_AVG,GP,W,L,W_PCT,MIN_AVG,FGM_AVG,FGA_AVG,FG_PCT_AVG,FG3M_AVG,FG3A_AVG,FG3_PCT_AVG,FTM_AVG,FTA_AVG,FT_PCT_AVG,OREB_AVG,DREB_AVG,REB_AVG,AST_AVG,TOV_AVG,STL_AVG,BLK_AVG,BLKA,PF_AVG,PFD,PTS_AVG,PLUS_MINUS_AVG,DD2,TD3,GAME_ID_AVG,AWAYORHOME,STATUS,PLAYER_ID,JERSEYNUM,POSITION,STARTER,ONCOURT,PLAYED,NOTPLAYINGREASON,NOTPLAYINGDESCRIPTION,AST,BLK,BLKR,FGA,FGM,FG_PCT,PF_OFF,FOULSDRAWN,PF,PF_TECH,FTA,FTM,FT_PCT,MINUS,MIN,PLUS,PLUS_MINUS,PTS,PTS_FASTBREAK,PTS_PAINT,PTS_2NDCHANCE,DREB,OREB,REB,STL,FG3A,FG3M,FG3_PCT,TOV,FG2A,FG2M,FG2_PCT,DATE_UPDATED_EST,SET_EASY,TIER_EASY,SERIES_EASY,PLAY_EASY,DATE_MOMENT,TEAM_TS,COUNT_EASY,OWNED,UNIQUE_OWNERS,IN_PACKS,MINTED,TS_HELD,CS,LOW_ASK_EASY,4HCHANGE_EASY,24H,7D,LISTINGS,TSD,ROOKIE_PREMIERE,ROOKIE_MINT,ROOKIE_YEAR,EDITION_STATE,PLAY_ID,SET_ID,TS_LINK,SET_HARD,TIER_HARD,SERIES_HARD,PLAY_HARD,COUNT_HARD,LOW_ASK_HARD,4HCHANGE_HARD,AWAY_TEAM,AWAY_ID,HOME_TEAM,HOME_ID,PERIOD,GAME_CLOCK,AWAY_SCORE,HOME_SCORE,START_TIME,GAME_STATUS,EASY_MOMENT,HARD_MOMENT,SCORE,DIFFERENTIAL,GAME_CLOCK_,PTS_PROJ,REB_PROJ,AST_PROJ,PTS+REB+AST_PROJ,_PROJ
Josh Giddey,OKC,CHI,0022100730,1630581,41,13,28,0.317,30.796056910569106,4.804878048780488,11.853658536585366,0.405,1.0975609756097562,4.0,0.274,0.8292682926829268,1.2439024390243902,0.667,1.6829268292682926,5.7317073170731705,7.414634146341464,6.170731707317073,2.926829268292683,1.0,0.43902439024390244,0.9024390243902439,1.7317073170731707,1,11.536585365853659,-278,9,1,0022100730,home,ACTIVE,1630581.0,3,SG,Starter,In Play,1,nan,nan,1,0,0,1,1,1.0,0,0.0,0,0,0,0,0.0,2,1.4333333333333333,5,3,2,2,2,0,1,0,1,0,0,0,0.0,0,1,1,1.0,2022-01-24 21:11,Base Set,Common,3,Assist,2021-10-21 01:00:00+00:00,Oklahoma City Thunder,4000,2143.0,0.0,170.0,1687.0,0.0,2.0,347,-0.57,5.47,-4.93,75.0,True,True,True,True,VISIBLE,37838dac-13b1-4d5d-a94b-787b13a222d5,e7b9646c-9997-46c8-909f-2a2b67389023,https://nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+37838dac-13b1-4d5d-a94b-787b13a222d5,Base Set,Common,3,Assist,4000,347,-0.57,CHI,1610612741,OKC,1610612760,1,10:34.00,2,5,2022-01-24 20:00:00-05:00,Q1 10:34,Base Set-Common-3-Assist,Base Set-Common-3-Assist,2-5,-3,Q1 - 10:34.00,13.192090108401084,8.193224932249322,6.986466802168022,28.371781842818425,0
Kenrich Williams,OKC,CHI,0022100730,1629026,38,13,25,0.342,20.606973684210526,2.8421052631578947,6.105263157894737,0.466,0.868421052631579,2.210526315789474,0.393,0.5789473684210527,1.0789473684210527,0.537,1.4473684210526316,2.6052631578947367,4.052631578947368,1.9210526315789473,0.8421052631578947,0.9210526315789473,0.13157894736842105,0.34210526315789475,1.6842105263157894,1,7.131578947368421,28,0,0,0022100730,home,ACTIVE,1629026.0,34,nan,Bench,On Bench,0,nan,nan,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,2022-01-24 21:07,Base Set,Common,2,Layup,2021-03-28 01:00:00+00:00,Oklahoma City Thunder,12000,10318.0,0.0,1011.0,674.0,0.0,12.0,4,0.0,0.0,0.0,210.0,True,False,False,False,VISIBLE,10341a0e-af57-4a52-87a9-6bfef2add1b3,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+10341a0e-af57-4a52-87a9-6bfef2add1b3,Base Set,Common,2,Layup,12000,4,0.0,CHI,1610612741,OKC,1610612760,1,10:34.00,2,5,2022-01-24 20:00:00-05:00,Q1 10:34,Base Set-Common-2-Layup,Base Set-Common-2-Layup,2-5,-3,Q1 - 10:34.00,6.918622076023391,3.931615497076023,1.8636878654970759,12.713925438596489,0
Luguentz Dort,OKC,CHI,0022100730,1629652,42,14,28,0.333,32.21992063492063,5.4523809523809526,13.761904761904763,0.396,2.4047619047619047,7.4523809523809526,0.323,2.7857142857142856,3.261904761904762,0.854,0.6190476190476191,3.2857142857142856,3.9047619047619047,1.5952380952380953,1.5714285714285714,0.8571428571428571,0.35714285714285715,0.8571428571428571,2.9285714285714284,3,16.095238095238095,-289,0,0,0022100730,home,ACTIVE,1629652.0,5,SF,Starter,In Play,1,nan,nan,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,2,1.4333333333333333,5,3,0,0,0,0,1,0,1,0,0,0,0.0,0,0,0,0.0,2022-01-24 21:11,Base Set,Common,2,Layup,2021-01-28 02:00:00+00:00,Oklahoma City Thunder,35000,31757.0,0.0,2873.0,387.0,0.0,12.0,5,0.0,0.0,25.0,1505.0,False,False,False,False,VISIBLE,1e7fac38-8b01-43d2-a94e-8424b6857fa6,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+1e7fac38-8b01-43d2-a94e-8424b6857fa6,Rising Stars,Rare,2,Steal,2021,126,0.0,CHI,1610612741,OKC,1610612760,1,10:34.00,2,5,2022-01-24 20:00:00-05:00,Q1 10:34,Base Set-Common-2-Layup,Rising Stars-Rare-2-Steal,2-5,-3,Q1 - 10:34.00,15.6146164021164,4.7881613756613755,1.547602513227513,21.95038029100529,0
Mamadi Diakite,OKC,CHI,0022100730,1629603,6,1,5,0.167,12.467777777777778,1.5,3.0,0.5,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,2.5,3.5,0.0,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,2.1666666666666665,0,3.0,7,0,0,0022100730,home,ACTIVE,1629603.0,25,nan,Bench,On Bench,0,nan,nan,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CHI,1610612741,OKC,1610612760,1,10:34.00,2,5,2022-01-24 20:00:00-05:00,Q1 10:34,nan,nan,2-5,-3,Q1 - 10:34.00,2.9104166666666664,3.395486111111111,0.0,6.305902777777778,0
Mike Muscala,OKC,CHI,0022100730,203488,38,12,26,0.316,13.469429824561402,2.6052631578947367,5.605263157894737,0.465,1.605263157894737,3.6578947368421053,0.439,1.1578947368421053,1.3157894736842106,0.88,0.39473684210526316,2.5,2.8947368421052633,0.5263157894736842,0.34210526315789475,0.42105263157894735,0.5789473684210527,0.2631578947368421,1.3157894736842106,1,7.973684210526316,19,0,0,0022100730,home,ACTIVE,203488.0,33,nan,Bench,On Bench,0,nan,nan,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,2022-01-24 21:01,Base Set,Common,3,3 Pointer,2021-12-09 00:30:00+00:00,Oklahoma City Thunder,60000,22811.0,0.0,7848.0,31072.0,0.0,2.0,3,50.0,0.0,0.0,1574.0,nan,nan,nan,nan,VISIBLE,82cdfd4f-892b-4ba7-840b-e7ffd40b277a,e7b9646c-9997-46c8-909f-2a2b67389023,https://nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+82cdfd4f-892b-4ba7-840b-e7ffd40b277a,Base Set,Common,2,3 Pointer,12000,7,16.67,CHI,1610612741,OKC,1610612760,1,10:34.00,2,5,2022-01-24 20:00:00-05:00,Q1 10:34,Base Set-Common-3-3 Pointer,Base Set-Common-2-3 Pointer,2-5,-3,Q1 - 10:34.00,7.7355811403508765,2.808296783625731,0.5105994152046783,11.054477339181286,0
Shai Gilgeous-Alexander,OKC,CHI,0022100730,1628983,41,14,27,0.341,34.90349593495935,7.829268292682927,18.5609756097561,0.422,1.5853658536585367,5.682926829268292,0.279,5.560975609756097,6.7560975609756095,0.823,0.7317073170731707,4.097560975609756,4.829268292682927,5.439024390243903,2.4390243902439024,1.0731707317073171,0.7804878048780488,1.170731707317073,2.4146341463414633,5,22.804878048780488,-171,3,1,0022100730,home,ACTIVE,1628983.0,2,PG,Starter,In Play,1,nan,nan,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,2,1.4333333333333333,5,3,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,2022-01-24 21:09,Base Set,Common,2,Layup,2021-01-10 23:00:00+00:00,Oklahoma City Thunder,40000,36449.0,0.0,2548.0,1013.0,0.0,12.0,9,-18.18,0.0,12.5,999.0,False,False,False,False,VISIBLE,4fcef4e2-2935-4533-8482-e22c10f667ce,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+4fcef4e2-2935-4533-8482-e22c10f667ce,Metallic Gold LE,Rare,3,3 Pointer,749,304,1.33,CHI,1610612741,OKC,1610612760,1,10:34.00,2,5,2022-01-24 20:00:00-05:00,Q1 10:34,Base Set-Common-2-Layup,Metallic Gold LE-Rare-3-3 Pointer,2-5,-3,Q1 - 10:34.00,22.12389905149051,4.685060975609756,5.276609078590786,32.08556910569105,0
Tre Mann,OKC,CHI,0022100730,1630544,33,10,23,0.303,17.148434343434342,2.696969696969697,6.757575757575758,0.399,1.0606060606060606,2.909090909090909,0.365,0.6060606060606061,0.9090909090909091,0.667,0.36363636363636365,1.8484848484848484,2.212121212121212,0.7878787878787878,0.6666666666666666,0.5454545454545454,0.21212121212121213,0.5757575757575758,1.696969696969697,0,7.0606060606060606,-92,0,0,0022100730,home,ACTIVE,1630544.0,23,nan,Bench,On Bench,0,nan,nan,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,2022-01-24 21:11,Base Set,Common,3,Jump Shot,2021-10-21 01:00:00+00:00,Oklahoma City Thunder,4000,1880.0,0.0,370.0,1751.0,0.0,2.0,98,32.43,42.03,-2.0,66.0,True,True,True,True,VISIBLE,c0fa1225-3378-44d2-9726-9e86f47a235a,e7b9646c-9997-46c8-909f-2a2b67389023,https://nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+c0fa1225-3378-44d2-9726-9e86f47a235a,Base Set,Common,3,Jump Shot,4000,98,32.43,CHI,1610612741,OKC,1610612760,1,10:34.00,2,5,2022-01-24 20:00:00-05:00,Q1 10:34,Base Set-Common-3-Jump Shot,Base Set-Common-3-Jump Shot,2-5,-3,Q1 - 10:34.00,6.849768518518517,2.1460648148148147,0.7643518518518517,9.760185185185183,0
Ty Jerome,OKC,CHI,0022100730,1629660,37,11,26,0.297,15.655765765765766,2.5405405405405403,6.54054054054054,0.388,1.027027027027027,3.5945945945945947,0.286,0.7837837837837838,0.972972972972973,0.806,0.40540540540540543,1.0810810810810811,1.4864864864864864,1.7027027027027026,0.7297297297297297,0.6216216216216216,0.10810810810810811,0.35135135135135137,1.3243243243243243,0,6.891891891891892,15,0,0,0022100730,home,ACTIVE,1629660.0,16,nan,Bench,On Bench,0,nan,nan,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,2022-01-24 21:07,Base Set,Common,2,3 Pointer,2021-04-14 01:00:00+00:00,Oklahoma City Thunder,12000,10341.0,0.0,992.0,670.0,0.0,12.0,10,11.11,25.0,0.0,316.0,True,False,False,False,VISIBLE,5193453a-9848-44ca-ae6e-18842acb8247,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+5193453a-9848-44ca-ae6e-18842acb8247,Base Set,Common,2,3 Pointer,12000,10,11.11,CHI,1610612741,OKC,1610612760,1,10:34.00,2,5,2022-01-24 20:00:00-05:00,Q1 10:34,Base Set-Common-2-3 Pointer,Base Set-Common-2-3 Pointer,2-5,-3,Q1 - 10:34.00,6.686092342342342,1.4420983483483483,1.6518581081081078,9.780048798798799,0
Caris LeVert,IND,NOP,0022100712,1627747,32,13,19,0.406,30.61515625,7.03125,15.71875,0.447,1.625,5.0,0.325,2.75,3.4375,0.8,0.71875,2.875,3.59375,4.09375,1.8125,1.0,0.5,0.875,2.25,2,18.4375,46,1,0,0022100712,away,ACTIVE,1627747.0,22,SG,Starter,In Play,1,nan,nan,0,0,0,1,0,0.0,0,1.0,0,0,0,0,0.0,4,1.1333333333333333,0,-4,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0.0,2022-01-24 21:10,Base Set,Common,3,3 Pointer,2021-11-01 23:00:00+00:00,Indiana Pacers,60000,34854.0,0.0,12476.0,14346.0,0.0,2.0,3,0.0,0.0,0.0,2571.0,nan,nan,nan,nan,VISIBLE,60d7e3fd-179d-4e8d-84ee-59097999af24,e7b9646c-9997-46c8-909f-2a2b67389023,https://nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+60d7e3fd-179d-4e8d-84ee-59097999af24,Metallic Gold LE,Rare,2,3 Pointer,499,295,-1.34,IND,1610612754,NOP,1610612740,1,10:52.00,0,4,2022-01-24 20:00:00-05:00,Q1 10:52,Base Set-Common-3-3 Pointer,Metallic Gold LE-Rare-2-3 Pointer,4-0,4,Q1 - 10:52.00,18.00217013888889,3.5088975694444446,3.9970920138888886,25.508159722222224,0
Chris Duarte,IND,NOP,0022100712,1630537,39,17,22,0.436,29.096880341880343,5.230769230769231,11.820512820512821,0.443,1.8205128205128205,5.102564102564102,0.357,1.3333333333333333,1.8717948717948718,0.712,0.717948717948718,3.41025641025641,4.128205128205129,2.2564102564102564,1.6923076923076923,1.1282051282051282,0.15384615384615385,0.6666666666666666,1.7435897435897436,1,13.615384615384615,64,0,0,0022100712,away,ACTIVE,1630537.0,3,PG,Starter,In Play,1,nan,nan,0,0,0,1,0,0.0,0,0.0,0,0,0,0,0.0,4,1.1333333333333333,0,-4,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0.0,2022-01-24 21:10,Base Set,Common,3,3 Pointer,2021-10-20 23:00:00+00:00,Indiana Pacers,4000,2175.0,0.0,138.0,1687.0,0.0,2.0,207,-11.91,18.29,52.21,63.0,True,True,True,True,VISIBLE,9725cfcd-f262-4ea8-b865-3a94dfe7736b,e7b9646c-9997-46c8-909f-2a2b67389023,https://nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+9725cfcd-f262-4ea8-b865-3a94dfe7736b,Base Set,Common,3,3 Pointer,4000,207,-11.91,IND,1610612754,NOP,1610612740,1,10:52.00,0,4,2022-01-24 20:00:00-05:00,Q1 10:52,Base Set-Common-3-3 Pointer,Base Set-Common-3-3 Pointer,4-0,4,Q1 - 10:52.00,13.293910256410257,4.030733618233619,2.203133903133903,19.52777777777778,0
Duane Washington Jr.,IND,NOP,0022100712,1630613,15,4,11,0.267,19.15588888888889,2.6,7.6,0.342,1.1333333333333333,3.6666666666666665,0.309,0.9333333333333333,1.2666666666666666,0.737,0.06666666666666667,1.3333333333333333,1.4,1.6666666666666667,1.1333333333333333,0.4666666666666667,0.06666666666666667,0.6666666666666666,0.9333333333333333,1,7.266666666666667,-59,0,0,0022100712,away,ACTIVE,1630613.0,4,nan,Bench,On Bench,0,nan,nan,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,IND,1610612754,NOP,1610612740,1,10:52.00,0,4,2022-01-24 20:00:00-05:00,Q1 10:52,nan,nan,4-0,4,Q1 - 10:52.00,7.095092592592592,1.3669444444444443,1.6273148148148149,10.089351851851852,0
Goga Bitadze,IND,NOP,0022100712,1629048,27,11,16,0.407,9.994938271604939,1.4444444444444444,3.5925925925925926,0.402,0.2222222222222222,1.3703703703703705,0.162,0.8148148148148148,1.2962962962962963,0.629,1.2592592592592593,1.5185185185185186,2.7777777777777777,0.4444444444444444,0.48148148148148145,0.37037037037037035,0.6296296296296297,0.37037037037037035,1.4814814814814814,1,3.925925925925926,8,1,0,0022100712,away,ACTIVE,1629048.0,88,C,Starter,In Play,1,nan,nan,0,0,0,1,0,0.0,0,1.0,0,0,0,0,0.0,4,1.1333333333333333,0,-4,0,0,0,0,0,2,2,0,0,0,0.0,0,1,0,0.0,2022-01-24 21:08,Base Set,Common,2,Layup,2021-04-03 00:00:00+00:00,Indiana Pacers,12000,11246.0,0.0,600.0,155.0,0.0,12.0,17,-29.17,41.67,142.86,304.0,True,False,False,False,VISIBLE,2e6fd9a1-0db7-4eb5-bedd-43c781735d3a,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+2e6fd9a1-0db7-4eb5-bedd-43c781735d3a,Base Set,Common,2,Layup,12000,17,-29.17,IND,1610612754,NOP,1610612740,1,10:52.00,0,4,2022-01-24 20:00:00-05:00,Q1 10:52,Base Set-Common-2-Layup,Base Set-Common-2-Layup,4-0,4,Q1 - 10:52.00,3.8332304526748975,4.7121913580246915,0.4339506172839506,8.97937242798354,0
Isaiah Jackson,IND,NOP,0022100712,1630543,14,5,9,0.357,6.89095238095238,1.1428571428571428,2.5714285714285716,0.444,0.0,0.07142857142857142,0.0,0.7857142857142857,1.3571428571428572,0.579,0.8571428571428571,1.2857142857142858,2.142857142857143,0.21428571428571427,0.21428571428571427,0.35714285714285715,0.5,0.2857142857142857,1.3571428571428572,0,3.0714285714285716,-16,0,0,0022100712,away,ACTIVE,1630543.0,23,nan,Bench,On Bench,0,nan,nan,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,IND,1610612754,NOP,1610612740,1,10:52.00,0,4,2022-01-24 20:00:00-05:00,Q1 10:52,nan,nan,4-0,4,Q1 - 10:52.00,2.9989087301587305,2.0922619047619047,0.20922619047619045,5.300396825396826,0
Jeremy Lamb,IND,NOP,0022100712,203087,32,13,19,0.406,15.2409375,2.21875,6.0,0.37,1.0,3.09375,0.323,1.8125,2.0625,0.879,0.4375,2.0625,2.5,1.3125,0.625,0.53125,0.375,0.1875,1.25,1,7.25,50,0,0,0022100712,away,ACTIVE,203087.0,26,nan,Bench,On Bench,0,nan,nan,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,2022-01-24 21:08,Base Set,Common,2,3 Pointer,2021-02-03 01:00:00+00:00,Indiana Pacers,12000,10855.0,0.0,748.0,397.0,0.0,12.0,23,130.0,187.5,155.56,255.0,True,False,False,False,VISIBLE,c831e133-5238-4747-a7de-f238ae02267a,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+c831e133-5238-4747-a7de-f238ae02267a,Base Set,Common,2,3 Pointer,12000,23,130.0,IND,1610612754,NOP,1610612740,1,10:52.00,0,4,2022-01-24 20:00:00-05:00,Q1 10:52,Base Set-Common-2-3 Pointer,Base Set-Common-2-3 Pointer,4-0,4,Q1 - 10:52.00,7.078819444444444,2.4409722222222223,1.2815104166666667,10.801302083333333,0
Justin Holiday,IND,NOP,0022100712,203200,41,14,27,0.341,28.744959349593493,3.8048780487804876,9.317073170731707,0.408,2.6341463414634148,7.024390243902439,0.375,0.7073170731707317,0.8780487804878049,0.806,0.34146341463414637,2.4878048780487805,2.8292682926829267,1.7317073170731707,0.9512195121951219,0.7073170731707317,0.36585365853658536,0.21951219512195122,2.1951219512195124,0,10.951219512195122,-48,0,0,0022100712,away,ACTIVE,203200.0,8,SF,Starter,In Play,1,nan,nan,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,4,1.1333333333333333,0,-4,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,2022-01-24 21:02,Base Set,Common,3,Dunk,2021-11-28 22:00:00+00:00,Indiana Pacers,60000,27610.0,0.0,11055.0,23267.0,0.0,2.0,2,-33.33,0.0,-33.33,1963.0,nan,nan,nan,nan,VISIBLE,bf1d710f-7279-4ce1-82ca-f866c0249e23,e7b9646c-9997-46c8-909f-2a2b67389023,https://nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+bf1d710f-7279-4ce1-82ca-f866c0249e23,Metallic Gold LE,Rare,1,Layup,299,245,0.0,IND,1610612754,NOP,1610612740,1,10:52.00,0,4,2022-01-24 20:00:00-05:00,Q1 10:52,Base Set-Common-3-Dunk,Metallic Gold LE-Rare-1-Layup,4-0,4,Q1 - 10:52.00,10.692649051490514,2.7624661246612465,1.690819783197832,15.145934959349592,0
Keifer Sykes,IND,NOP,0022100712,1626208,12,2,10,0.167,22.47361111111111,2.9166666666666665,7.333333333333333,0.398,1.0833333333333333,3.4166666666666665,0.317,0.6666666666666666,0.75,0.889,0.4166666666666667,1.75,2.1666666666666665,2.5833333333333335,1.5833333333333333,0.5,0.08333333333333333,0.25,2.0833333333333335,0,7.583333333333333,-6,0,0,0022100712,away,ACTIVE,1626208.0,28,nan,Bench,On Bench,0,nan,nan,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,IND,1610612754,NOP,1610612740,1,10:52.00,0,4,2022-01-24 20:00:00-05:00,Q1 10:52,nan,nan,4-0,4,Q1 - 10:52.00,7.404282407407408,2.1155092592592593,2.522337962962963,12.04212962962963,0
Lance Stephenson,IND,NOP,0022100712,202362,11,3,8,0.273,19.035454545454545,3.8181818181818183,8.272727272727273,0.462,0.8181818181818182,2.909090909090909,0.281,1.0909090909090908,1.3636363636363635,0.8,0.36363636363636365,2.1818181818181817,2.5454545454545454,3.6363636363636362,1.8181818181818181,0.7272727272727273,0.0,0.36363636363636365,2.1818181818181817,1,9.545454545454545,-21,1,0,0022100712,away,ACTIVE,202362.0,6,nan,Bench,On Bench,0,nan,nan,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,2022-01-24 21:01,Base Set,Common,3,3 Pointer,2022-01-06 00:30:00+00:00,Indiana Pacers,12000,7802.0,0.0,493.0,3708.0,0.0,2.0,24,71.43,100.0,0.0,225.0,True,nan,nan,nan,VISIBLE,587afb38-dfe7-4f88-82ff-fa44d2000597,e7b9646c-9997-46c8-909f-2a2b67389023,https://nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+587afb38-dfe7-4f88-82ff-fa44d2000597,Base Set,Common,3,3 Pointer,12000,24,71.43,IND,1610612754,NOP,1610612740,1,10:52.00,0,4,2022-01-24 20:00:00-05:00,Q1 10:52,Base Set-Common-3-3 Pointer,Base Set-Common-3-3 Pointer,4-0,4,Q1 - 10:52.00,9.320075757575758,2.4853535353535356,3.5505050505050506,15.355934343434344,0
Oshae Brissett,IND,NOP,0022100712,1629052,36,12,24,0.333,18.56449074074074,2.388888888888889,5.611111111111111,0.426,0.8611111111111112,2.5277777777777777,0.341,0.75,1.1944444444444444,0.628,1.25,2.6944444444444446,3.9444444444444446,0.7222222222222222,0.6666666666666666,0.5,0.3055555555555556,0.3611111111111111,1.3333333333333333,0,6.388888888888889,-77,0,0,0022100712,away,ACTIVE,1629052.0,12,nan,Bench,On Bench,0,nan,nan,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,2022-01-24 21:02,Base Set,Common,3,Dunk,2021-12-11 00:00:00+00:00,Indiana Pacers,12000,8057.0,0.0,1238.0,2708.0,0.0,2.0,17,54.55,88.89,54.55,223.0,True,nan,nan,nan,VISIBLE,8ab5268f-6a58-4ab5-8e8e-8be7601df2f8,e7b9646c-9997-46c8-909f-2a2b67389023,https://nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+8ab5268f-6a58-4ab5-8e8e-8be7601df2f8,Base Set,Common,3,Dunk,12000,17,54.55,IND,1610612754,NOP,1610612740,1,10:52.00,0,4,2022-01-24 20:00:00-05:00,Q1 10:52,Base Set-Common-3-Dunk,Base Set-Common-3-Dunk,4-0,4,Q1 - 10:52.00,6.23804012345679,3.851311728395062,0.7051697530864197,10.794521604938272,0
Terry Taylor,IND,NOP,0022100712,1630678,2,0,2,0.0,2.755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,5,0,0,0022100712,away,ACTIVE,1630678.0,32,nan,Bench,On Bench,0,nan,nan,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,IND,1610612754,NOP,1610612740,1,10:52.00,0,4,2022-01-24 20:00:00-05:00,Q1 10:52,nan,nan,4-0,4,Q1 - 10:52.00,0.0,0.48819444444444443,0.48819444444444443,0.9763888888888889,0
